tweet,actual,predicted
love looks good maddie ako clove young sobrang spice how may zolo soya before with the past mayo lowkey,1,"(('__label__POSITIVE',), array([0.63372654]))"
gonna start another june sour note Uhhhh yes yes yes,1,"(('__label__POSITIVE',), array([0.49393076]))"
within address title chahta qki mere hither Tell,1,"(('__label__NEUTRAL',), array([0.77382314]))"
caring very more caring courier wale bsdk sign also self krlete my,0,"(('__label__NEGATIVE',), array([0.7160998]))"
status nonsense ever statement but fishing team successful other sakti log their liy,2,"(('__label__NEGATIVE',), array([0.45067599]))"
best luck sir world cup for ghost ghost Good luck,2,"(('__label__POSITIVE',), array([0.67491084]))"
yes great dialogues sacking one also stealth stealth over chhaddabeshi all except sholay,2,"(('__label__POSITIVE',), array([0.5462727]))"
state bhakti words the same wit Can have self Patriot log sir bharat Your The pieces pretense,0,"(('__label__NEUTRAL',), array([0.55451697]))"
pakistani team effort ahead allah marziiiiiiiiiiiii,2,"(('__label__POSITIVE',), array([0.71757519]))"
what tum our father family other who him bay sport Helpful fucker hua what,0,"(('__label__NEGATIVE',), array([0.98355687]))"
are Stayed other Modi then ban Gone mutely clean straightway straightway Characters,1,"(('__label__NEGATIVE',), array([0.62995982]))"
pimp photo elections yesterday more conversancy mat words,0,"(('__label__NEGATIVE',), array([0.76048309]))"
wadraaaa omnibus frame paisa other film industry then tentacle,0,"(('__label__NEGATIVE',), array([0.56121475]))"
dusting The one american your tyre accursed kardeti have and any exercise also other spire sacking sucks ive gained weight,0,"(('__label__NEUTRAL',), array([0.53740025]))"
wit I Rahul gandhi which words for udash have And victory have Modi other log up,0,"(('__label__NEGATIVE',), array([0.522416]))"
Sunita nigger jab And seal Will break more dard pier media anchor Will happen,0,"(('__label__NEUTRAL',), array([0.52625173]))"
Narendra Modi pure majority winning par very very greeting,2,"(('__label__POSITIVE',), array([0.9779703]))"
wise what invite other what most corrupted party indian history good politics from well done,0,"(('__label__POSITIVE',), array([0.60048229]))"
volunteer abode straightforward austere lead open free coaching center for needy people,2,"(('__label__NEUTRAL',), array([0.56027973]))"
believe thirty not fake fight for cause not the flaws please Brother,1,"(('__label__NEUTRAL',), array([0.52462727]))"
vote advertency sub words vote other Get hindu muslim caste advertency unaccompanied vote bank,1,"(('__label__NEGATIVE',), array([0.66689378]))"
pakistan start hone yesterday lyric hold tired sub match so Will play for india August Play ass main current uncork,0,"(('__label__NEUTRAL',), array([0.48541787]))"
acquire your views slow also upon times may feel better now hypocrate,0,"(('__label__NEUTRAL',), array([0.57800603]))"
many many greeting underway hind underway jawan underway tiller azaade hind Manish Military the blood sudor,2,"(('__label__POSITIVE',), array([0.93919122]))"
precinct have girl moonstruck have moonstruck significance have mentally disturbed Ranchi agra,0,"(('__label__NEGATIVE',), array([0.63396883]))"
bus sympathy team Will win Because Anushka slow dry dual god bless all,2,"(('__label__POSITIVE',), array([0.93125767]))"
watch exciting episode its sir muslim khan special with thirty,1,"(('__label__NEUTRAL',), array([0.3611379]))"
this mercy young pokemon have,1,"(('__label__NEUTRAL',), array([0.477305]))"
abe dog gross muslim wow Your nidus cake travelling doing have Your within dam have then,0,"(('__label__NEGATIVE',), array([0.85327631]))"
not happy with appointments far all see men getting appointed status about women women ain,0,"(('__label__POSITIVE',), array([0.54939479]))"
Good india pakistan beech cricket world cup match but visualise much fun,1,"(('__label__NEUTRAL',), array([0.76371539]))"
